,content_id,content_type,language,genre,runtime
0,CJSMBEACT2e633,Movie,Bengali,Action,90
1,CJSMBEACT34aec,Movie,Bengali,Action,135
2,CJSMBEACT83b46,Movie,Bengali,Action,120
3,CJSMBECOM12e7a,Movie,Bengali,Comedy,120
4,CJSMBECOM5431a,Movie,Bengali,Comedy,135
5,CJSMBECOMcef10,Movie,Bengali,Comedy,120
6,CJSMBEDRA3f060,Movie,Bengali,Drama,150
7,CJSMBEDRA46aa5,Movie,Bengali,Drama,90
8,CJSMBEDRA73058,Movie,Bengali,Drama,120
9,CJSMBEDRA79ce1,Movie,Bengali,Drama,135
10,CJSMBEDRA9a726,Movie,Bengali,Drama,180
11,CJSMBEDRAa18a0,Movie,Bengali,Drama,120
12,CJSMBEDRAa5c89,Movie,Bengali,Drama,120
13,CJSMBEDRAc906a,Movie,Bengali,Drama,135
14,CJSMBEDRAda274,Movie,Bengali,Drama,120
15,CJSMBEDRAde98b,Movie,Bengali,Drama,120
16,CJSMBEDRAec743,Movie,Bengali,Drama,135
17,CJSMBEFAN32a83,Movie,Bengali,Fantasy,120
18,CJSMBEFAN5adb5,Movie,Bengali,Fantasy,150
19,CJSMBEFAN9ac36,Movie,Bengali,Fantasy,135
20,CJSMBEROM29b4f,Movie,Bengali,Romance,90
21,CJSMBEROM329ec,Movie,Bengali,Romance,120
22,CJSMBEROM3e538,Movie,Bengali,Romance,135
23,CJSMBEROM43bcc,Movie,Bengali,Romance,135
24,CJSMBEROM50389,Movie,Bengali,Romance,120
25,CJSMBEROM6c4d9,Movie,Bengali,Romance,120
26,CJSMBEROMeaa25,Movie,Bengali,Romance,90
27,CJSMBESCI14486,Movie,Bengali,Sci-Fi,135
28,CJSMBETHR31a11,Movie,Bengali,Thriller,135
29,CJSMBETHR3b468,Movie,Bengali,Thriller,120
30,CJSMBETHR7f34f,Movie,Bengali,Thriller,180
31,CJSMBETHR98ac8,Movie,Bengali,Thriller,135
32,CJSMBETHRaaffe,Movie,Bengali,Thriller,120
33,CJSMBETHRba1a7,Movie,Bengali,Thriller,120
34,CJSMBETHRd986e,Movie,Bengali,Thriller,120
35,CJSMENACT0331c,Movie,English,Action,90
36,CJSMENACT0874b,Movie,English,Action,150
37,CJSMENACT08eef,Movie,English,Action,120
38,CJSMENACT0b071,Movie,English,Action,120
39,CJSMENACT0d817,Movie,English,Action,120
40,CJSMENACT0dc6b,Movie,English,Action,120
41,CJSMENACT0ff71,Movie,English,Action,120
42,CJSMENACT10b2a,Movie,English,Action,120
43,CJSMENACT1e511,Movie,English,Action,120
44,CJSMENACT1f1b5,Movie,English,Action,150
45,CJSMENACT1f870,Movie,English,Action,135
46,CJSMENACT1fa2c,Movie,English,Action,90
47,CJSMENACT2f1dc,Movie,English,Action,120
48,CJSMENACT2fa29,Movie,English,Action,120
