,user_id,age_group,city_tier,subscription_date,subscription_plan,last_active_date,plan_change_date,new_subscription_plan
0,UIDJS0000751588f,18-24,Tier 1,2024-06-10,Premium,,,
1,UIDJS000093eeb86,18-24,Tier 1,2024-11-09,Free,,,
2,UIDJS00010d7fa1e,25-34,Tier 1,2024-08-08,Free,,,
3,UIDJS00013411a85,35-44,Tier 2,2024-05-31,VIP,,,
4,UIDJS0003a3f54cf,35-44,Tier 1,2024-09-20,Premium,,,
5,UIDJS0003c1e814d,45+,Tier 1,2024-09-29,Free,,,
6,UIDJS0005148a254,18-24,Tier 1,2024-11-10,Premium,,,
7,UIDJS00053f36fed,25-34,Tier 1,2024-03-07,Premium,,,
8,UIDJS00054eb2210,25-34,Tier 3,2024-04-12,Premium,,,
9,UIDJS0005f952957,25-34,Tier 3,2024-09-29,VIP,2024-12-02,,
10,UIDJS00066780176,35-44,Tier 2,2024-08-14,Free,2024-10-05,,
11,UIDJS00095c87d92,35-44,Tier 1,2024-06-06,Premium,2024-07-22,,
12,UIDJS000cd6a7fe8,25-34,Tier 1,2024-09-18,Premium,,2024-12-18,VIP
13,UIDJS000e99e1896,25-34,Tier 1,2024-05-14,Free,,,
14,UIDJS0010511043c,45+,Tier 1,2024-10-13,VIP,,,
15,UIDJS00128a22453,25-34,Tier 1,2024-11-19,VIP,,,
16,UIDJS001420c2f0f,25-34,Tier 2,2024-04-25,VIP,2024-11-13,,
17,UIDJS0014d1ad763,18-24,Tier 1,2024-08-10,Free,,,
18,UIDJS0018cdf086d,25-34,Tier 2,2024-03-18,VIP,,,
19,UIDJS0019b04b32f,18-24,Tier 1,2024-02-11,VIP,,2024-08-11,Free
20,UIDJS001aa8810f4,25-34,Tier 1,2024-06-23,Premium,,,
21,UIDJS001b7c6be2d,18-24,Tier 1,2024-11-03,Premium,,,
22,UIDJS001cbec7b1d,18-24,Tier 1,2024-08-29,VIP,,,
23,UIDJS001defd7e03,25-34,Tier 1,2024-01-18,VIP,,2024-08-18,Free
24,UIDJS001e6dc7e2f,25-34,Tier 1,2024-02-04,VIP,,,
25,UIDJS00242dbc61e,35-44,Tier 2,2024-06-27,Free,2024-08-11,,
26,UIDJS00248560e10,25-34,Tier 1,2024-02-15,Premium,2024-04-30,,
